Name,Race_Location,Starting_Position,Finishing_Position,Status
ricciardo,Russian Grand Prix,10,15,no,
ricciardo,United States Grand Prix,3,10,yes,
ricciardo,Mexican Grand Prix,5,5,yes,
ricciardo,Brazilian Grand Prix,19,11,yes,
ricciardo,Abu Dhabi Grand Prix,5,6,yes,
sainz,Australian Grand Prix,7,9,yes,
sainz,Malaysian Grand Prix,15,8,yes,
sainz,Chinese Grand Prix,14,13,yes,
sainz,Bahrain Grand Prix,9,19,no,
sainz,Spanish Grand Prix,5,9,yes,
sainz,Monaco Grand Prix,0,10,yes,
sainz,Canadian Grand Prix,11,12,yes,
sainz,Austrian Grand Prix,12,16,no,
sainz,British Grand Prix,8,14,no,
sainz,Hungarian Grand Prix,12,17,no,
sainz,Belgian Grand Prix,10,17,no,
sainz,Italian Grand Prix,17,11,yes,
sainz,Singapore Grand Prix,14,9,yes,
sainz,Japanese Grand Prix,10,10,yes,
sainz,Russian Grand Prix,20,16,no,
sainz,United States Grand Prix,20,7,yes,
sainz,Mexican Grand Prix,11,13,yes,
sainz,Brazilian Grand Prix,10,19,no,
sainz,Abu Dhabi Grand Prix,10,11,yes,
max_verstappen,Australian Grand Prix,11,13,no,
max_verstappen,Malaysian Grand Prix,6,7,yes,
max_verstappen,Chinese Grand Prix,13,17,no,
max_verstappen,Bahrain Grand Prix,15,18,no,
max_verstappen,Spanish Grand Prix,6,11,yes,
max_verstappen,Monaco Grand Prix,9,18,no,
max_verstappen,Canadian Grand Prix,19,15,yes,
max_verstappen,Austrian Grand Prix,7,8,yes,
max_verstappen,British Grand Prix,13,16,no,
max_verstappen,Hungarian Grand Prix,9,4,yes,
max_verstappen,Belgian Grand Prix,18,8,yes,
max_verstappen,Italian Grand Prix,20,12,yes,
max_verstappen,Singapore Grand Prix,8,8,yes,
max_verstappen,Japanese Grand Prix,17,9,yes,
max_verstappen,Russian Grand Prix,9,10,yes,
max_verstappen,United States Grand Prix,8,4,yes,
max_verstappen,Mexican Grand Prix,8,9,yes,
max_verstappen,Brazilian Grand Prix,9,9,yes,
max_verstappen,Abu Dhabi Grand Prix,11,16,yes,
vettel,Australian Grand Prix,4,3,yes,
vettel,Malaysian Grand Prix,2,1,yes,
vettel,Chinese Grand Prix,3,3,yes,
vettel,Bahrain Grand Prix,2,5,yes,
vettel,Spanish Grand Prix,3,3,yes,
vettel,Monaco Grand Prix,3,2,yes,
vettel,Canadian Grand Prix,18,5,yes,
vettel,Austrian Grand Prix,3,4,yes,
vettel,British Grand Prix,6,3,yes,
vettel,Hungarian Grand Prix,3,1,yes,
vettel,Belgian Grand Prix,8,12,no,
vettel,Italian Grand Prix,3,2,yes,
vettel,Singapore Grand Prix,1,1,yes,
vettel,Japanese Grand Prix,4,3,yes,
vettel,Russian Grand Prix,4,2,yes,
vettel,United States Grand Prix,13,3,yes,
vettel,Mexican Grand Prix,3,18,no,
vettel,Brazilian Grand Prix,3,3,yes,
vettel,Abu Dhabi Grand Prix,15,4,yes,
